customer_id,created_date,age_band,residency,segment
CUST00001,2025-10-18,36-45,ES,mass
CUST00002,2025-12-07,26-35,ES,mass
CUST00003,2025-10-15,46-60,AD,mass
CUST00004,2025-11-19,18-25,FR,mass
CUST00005,2025-10-26,26-35,AD,mass
CUST00006,2025-11-17,46-60,ES,mass
CUST00007,2026-02-10,26-35,ES,affluent
CUST00008,2026-01-02,60+,AD,mass
CUST00009,2025-10-23,18-25,AD,mass
CUST00010,2025-10-25,46-60,FR,mass
CUST00011,2025-12-12,36-45,AD,mass
CUST00012,2025-11-10,46-60,ES,mass
CUST00013,2025-10-24,36-45,AD,mass
CUST00014,2025-11-04,36-45,AD,affluent
CUST00015,2026-01-11,36-45,ES,affluent
CUST00016,2026-01-22,18-25,ES,mass
CUST00017,2025-12-05,26-35,AD,affluent
CUST00018,2026-02-04,46-60,AD,mass
CUST00019,2026-02-05,60+,AD,mass
CUST00020,2025-11-15,46-60,AD,mass
CUST00021,2025-12-08,60+,AD,mass
CUST00022,2025-11-01,36-45,AD,mass
CUST00023,2025-10-29,18-25,AD,mass
CUST00024,2025-12-30,18-25,AD,affluent
CUST00025,2025-12-21,26-35,ES,affluent
CUST00026,2026-01-10,46-60,ES,mass
CUST00027,2025-11-18,46-60,AD,mass
CUST00028,2025-11-04,36-45,FR,affluent
CUST00029,2025-11-17,60+,ES,mass
CUST00030,2025-10-28,46-60,AD,mass
CUST00031,2025-12-31,26-35,AD,mass
CUST00032,2026-01-22,60+,FR,mass
CUST00033,2025-12-16,18-25,FR,affluent
CUST00034,2026-01-29,46-60,AD,mass
CUST00035,2025-12-26,60+,AD,mass
CUST00036,2025-10-23,60+,AD,mass
CUST00037,2026-01-07,36-45,AD,mass
CUST00038,2026-02-03,36-45,FR,affluent
CUST00039,2026-01-19,46-60,AD,mass
CUST00040,2026-01-08,36-45,AD,mass
CUST00041,2025-10-30,26-35,AD,mass
CUST00042,2025-12-24,26-35,AD,mass
CUST00043,2026-01-03,18-25,AD,mass
CUST00044,2025-11-26,18-25,AD,mass
CUST00045,2025-11-11,36-45,ES,affluent
CUST00046,2025-12-27,36-45,ES,mass
CUST00047,2025-11-08,18-25,ES,mass
CUST00048,2025-12-06,36-45,ES,mass
CUST00049,2026-01-05,18-25,AD,mass
CUST00050,2026-02-02,18-25,AD,mass
CUST00051,2025-11-01,26-35,AD,mass
CUST00052,2026-02-10,18-25,ES,affluent
CUST00053,2025-10-27,18-25,FR,affluent
CUST00054,2025-10-26,60+,ES,mass
CUST00055,2025-12-16,36-45,FR,affluent
CUST00056,2025-11-05,26-35,FR,mass
CUST00057,2026-01-23,46-60,AD,mass
CUST00058,2026-01-16,60+,ES,mass
CUST00059,2025-11-03,26-35,AD,mass
CUST00060,2026-01-17,36-45,ES,mass
CUST00061,2025-12-28,36-45,FR,mass
CUST00062,2025-10-22,60+,AD,mass
CUST00063,2025-12-30,18-25,FR,mass
CUST00064,2026-02-05,36-45,ES,mass
CUST00065,2025-10-25,26-35,ES,mass
CUST00066,2026-02-11,26-35,ES,mass
CUST00067,2025-11-17,26-35,ES,mass
CUST00068,2025-11-24,60+,FR,mass
CUST00069,2026-01-02,60+,FR,mass
CUST00070,2025-11-11,36-45,AD,mass
CUST00071,2025-10-23,46-60,AD,mass
CUST00072,2026-01-29,36-45,AD,affluent
CUST00073,2026-01-26,36-45,AD,mass
CUST00074,2025-11-22,60+,AD,affluent
CUST00075,2025-11-17,18-25,AD,mass
CUST00076,2025-11-18,26-35,AD,mass
CUST00077,2026-01-10,36-45,AD,mass
CUST00078,2026-02-07,60+,AD,mass
CUST00079,2026-01-29,26-35,AD,mass
CUST00080,2026-01-04,60+,AD,mass
CUST00081,2026-01-13,26-35,AD,mass
CUST00082,2026-02-05,46-60,AD,mass
CUST00083,2025-12-01,36-45,AD,mass
CUST00084,2025-11-23,26-35,FR,affluent
CUST00085,2025-10-20,60+,AD,mass
CUST00086,2025-10-28,26-35,ES,affluent
CUST00087,2026-01-02,46-60,FR,mass
CUST00088,2025-11-04,60+,ES,affluent
CUST00089,2025-10-18,18-25,FR,mass
CUST00090,2025-12-06,46-60,FR,mass
CUST00091,2025-11-18,18-25,ES,mass
CUST00092,2025-10-19,46-60,AD,mass
CUST00093,2025-12-12,26-35,ES,affluent
CUST00094,2025-11-12,18-25,AD,mass
CUST00095,2026-02-02,18-25,ES,mass
CUST00096,2025-12-19,26-35,FR,mass
CUST00097,2025-10-18,18-25,FR,mass
CUST00098,2025-11-17,18-25,ES,mass
CUST00099,2026-01-23,26-35,ES,mass
CUST00100,2025-12-03,60+,AD,mass
CUST00101,2025-12-09,18-25,FR,mass
CUST00102,2026-01-15,60+,ES,mass
CUST00103,2025-12-09,18-25,ES,mass
CUST00104,2025-11-24,46-60,AD,affluent
CUST00105,2025-12-18,26-35,AD,mass
CUST00106,2025-11-21,36-45,AD,mass
CUST00107,2025-12-02,46-60,FR,mass
CUST00108,2025-11-22,26-35,ES,mass
CUST00109,2025-11-10,26-35,ES,mass
CUST00110,2025-12-13,36-45,ES,mass
CUST00111,2026-01-24,60+,ES,mass
CUST00112,2025-10-25,26-35,ES,mass
CUST00113,2025-10-26,46-60,ES,mass
CUST00114,2025-11-12,46-60,AD,mass
CUST00115,2025-12-14,36-45,ES,mass
CUST00116,2026-02-05,36-45,AD,mass
CUST00117,2025-12-17,26-35,AD,mass
CUST00118,2026-02-06,46-60,ES,mass
CUST00119,2025-12-08,26-35,ES,mass
CUST00120,2025-12-13,18-25,AD,affluent
CUST00121,2025-12-12,18-25,AD,mass
CUST00122,2025-12-25,36-45,FR,affluent
CUST00123,2026-01-01,46-60,FR,mass
CUST00124,2026-02-08,36-45,FR,mass
CUST00125,2025-12-14,36-45,ES,affluent
CUST00126,2025-11-19,46-60,AD,mass
CUST00127,2025-11-19,26-35,ES,mass
CUST00128,2025-11-26,26-35,AD,mass
CUST00129,2025-11-13,26-35,AD,mass
CUST00130,2025-12-07,26-35,AD,mass
CUST00131,2025-11-10,46-60,AD,mass
CUST00132,2026-01-12,18-25,FR,mass
CUST00133,2025-12-15,18-25,AD,mass
CUST00134,2026-02-01,60+,ES,mass
CUST00135,2026-01-17,36-45,ES,mass
CUST00136,2025-11-12,26-35,AD,mass
CUST00137,2026-01-08,46-60,AD,mass
CUST00138,2025-12-13,60+,FR,mass
CUST00139,2026-02-08,26-35,ES,mass
CUST00140,2026-01-05,26-35,FR,mass
CUST00141,2025-11-17,26-35,AD,mass
CUST00142,2026-01-20,46-60,AD,affluent
CUST00143,2025-12-07,26-35,AD,mass
CUST00144,2025-12-23,18-25,FR,mass
CUST00145,2025-10-23,46-60,ES,mass
CUST00146,2025-11-15,26-35,AD,mass
CUST00147,2025-10-31,36-45,AD,affluent
CUST00148,2025-12-13,46-60,ES,mass
CUST00149,2025-12-31,60+,ES,mass
CUST00150,2025-11-04,60+,AD,mass
CUST00151,2025-11-23,36-45,FR,mass
CUST00152,2026-01-14,26-35,ES,affluent
CUST00153,2025-11-15,18-25,ES,affluent
CUST00154,2025-12-30,46-60,ES,mass
CUST00155,2025-10-20,26-35,AD,mass
CUST00156,2025-12-18,36-45,AD,mass
CUST00157,2025-12-16,18-25,FR,mass
CUST00158,2026-01-29,36-45,AD,mass
CUST00159,2025-12-20,60+,AD,mass
CUST00160,2025-12-22,46-60,AD,affluent
CUST00161,2025-12-29,26-35,FR,affluent
CUST00162,2025-10-26,26-35,AD,mass
CUST00163,2025-12-26,36-45,AD,mass
CUST00164,2026-01-31,26-35,AD,mass
CUST00165,2025-11-17,26-35,FR,mass
CUST00166,2025-11-19,36-45,AD,mass
CUST00167,2025-11-14,46-60,AD,mass
CUST00168,2026-01-11,36-45,ES,mass
CUST00169,2025-10-17,18-25,AD,mass
CUST00170,2025-11-23,46-60,AD,mass
CUST00171,2025-11-28,26-35,ES,mass
CUST00172,2026-01-12,36-45,AD,mass
CUST00173,2026-01-15,26-35,AD,mass
CUST00174,2026-01-20,46-60,AD,mass
CUST00175,2025-11-19,46-60,FR,mass
CUST00176,2025-11-20,60+,ES,mass
CUST00177,2025-11-30,18-25,AD,mass
CUST00178,2025-11-19,18-25,AD,mass
CUST00179,2025-10-31,36-45,ES,mass
CUST00180,2025-10-16,36-45,AD,mass
CUST00181,2025-11-07,60+,AD,affluent
CUST00182,2025-10-29,46-60,AD,mass
CUST00183,2026-01-03,46-60,AD,mass
CUST00184,2025-11-22,18-25,AD,mass
CUST00185,2025-12-07,36-45,ES,mass
CUST00186,2025-12-20,26-35,FR,mass
CUST00187,2025-12-29,60+,AD,mass
CUST00188,2026-01-01,60+,AD,mass
CUST00189,2026-01-03,26-35,ES,mass
CUST00190,2025-11-06,36-45,AD,mass
CUST00191,2026-01-11,36-45,AD,mass
CUST00192,2026-01-13,26-35,FR,mass
CUST00193,2025-11-13,60+,ES,mass
CUST00194,2026-01-07,46-60,AD,mass
CUST00195,2025-11-12,36-45,FR,affluent
CUST00196,2025-10-24,18-25,ES,mass
CUST00197,2026-01-28,36-45,AD,mass
CUST00198,2026-01-11,26-35,AD,mass
CUST00199,2025-12-23,36-45,AD,mass
CUST00200,2025-12-09,46-60,ES,mass
CUST00201,2025-11-13,60+,ES,mass
CUST00202,2025-10-17,60+,ES,mass
CUST00203,2025-10-20,46-60,AD,mass
CUST00204,2025-12-10,60+,AD,mass
CUST00205,2026-01-04,46-60,FR,mass
CUST00206,2025-12-06,26-35,ES,affluent
CUST00207,2025-11-26,26-35,AD,mass
CUST00208,2025-12-05,46-60,ES,mass
CUST00209,2025-11-24,26-35,AD,mass
CUST00210,2026-02-02,36-45,FR,mass
CUST00211,2025-12-23,36-45,AD,mass
CUST00212,2026-01-02,46-60,ES,mass
CUST00213,2025-11-10,26-35,AD,mass
CUST00214,2026-02-04,46-60,AD,affluent
CUST00215,2025-12-31,46-60,ES,mass
CUST00216,2025-10-16,36-45,AD,affluent
CUST00217,2026-02-08,18-25,FR,mass
CUST00218,2025-11-03,36-45,ES,mass
CUST00219,2025-11-18,26-35,AD,mass
CUST00220,2025-12-12,36-45,AD,affluent
CUST00221,2025-12-19,46-60,AD,mass
CUST00222,2026-01-21,46-60,AD,affluent
CUST00223,2025-12-18,26-35,AD,mass
CUST00224,2026-01-30,36-45,FR,mass
CUST00225,2025-11-03,36-45,AD,mass
CUST00226,2026-01-20,36-45,AD,mass
CUST00227,2025-11-08,60+,AD,mass
CUST00228,2026-02-01,46-60,AD,mass
CUST00229,2026-01-13,60+,AD,affluent
CUST00230,2026-01-24,46-60,FR,mass
CUST00231,2025-10-19,18-25,FR,mass
CUST00232,2025-10-27,46-60,AD,mass
CUST00233,2025-12-12,18-25,AD,affluent
CUST00234,2025-11-03,18-25,ES,mass
CUST00235,2026-01-02,46-60,ES,affluent
CUST00236,2026-02-01,46-60,AD,affluent
CUST00237,2026-01-03,46-60,ES,affluent
CUST00238,2025-10-19,36-45,AD,mass
CUST00239,2025-11-20,60+,ES,mass
CUST00240,2025-10-27,46-60,ES,mass
CUST00241,2025-11-05,46-60,FR,mass
CUST00242,2026-01-24,18-25,AD,mass
CUST00243,2025-11-15,36-45,ES,mass
CUST00244,2025-11-05,18-25,ES,mass
CUST00245,2026-01-10,26-35,FR,mass
CUST00246,2025-12-13,36-45,AD,mass
CUST00247,2026-02-07,46-60,FR,mass
CUST00248,2025-11-04,18-25,FR,affluent
CUST00249,2025-11-22,36-45,AD,mass
CUST00250,2026-01-31,26-35,FR,affluent
CUST00251,2025-10-28,26-35,ES,mass
CUST00252,2026-01-12,26-35,FR,mass
CUST00253,2025-11-19,18-25,FR,mass
CUST00254,2025-10-21,60+,ES,affluent
CUST00255,2026-02-07,26-35,ES,mass
CUST00256,2025-11-29,26-35,AD,mass
CUST00257,2026-01-19,46-60,ES,affluent
CUST00258,2026-01-03,18-25,ES,mass
CUST00259,2026-01-23,36-45,ES,mass
CUST00260,2025-10-26,60+,AD,mass
CUST00261,2025-11-09,18-25,AD,affluent
CUST00262,2025-12-21,36-45,AD,mass
CUST00263,2026-02-08,46-60,AD,mass
CUST00264,2026-01-18,46-60,ES,mass
CUST00265,2025-10-24,18-25,FR,affluent
CUST00266,2026-01-15,46-60,AD,affluent
CUST00267,2025-12-25,26-35,ES,mass
CUST00268,2025-12-22,18-25,AD,mass
CUST00269,2025-11-17,36-45,ES,affluent
CUST00270,2025-10-28,46-60,AD,mass
CUST00271,2025-12-25,26-35,ES,mass
CUST00272,2026-01-04,46-60,FR,mass
CUST00273,2025-12-06,18-25,AD,mass
CUST00274,2025-12-17,18-25,AD,mass
CUST00275,2025-12-03,36-45,ES,mass
CUST00276,2025-12-23,26-35,ES,mass
CUST00277,2025-12-07,36-45,ES,mass
CUST00278,2025-11-19,18-25,AD,mass
CUST00279,2025-11-14,46-60,AD,mass
