event_ts,customer_id,product_family,event_type,amount
2025-10-27 01:00:00,CUST00003,account,opened,
2025-11-05 04:00:00,CUST00003,card,opened,
2026-03-03 12:00:00,CUST00007,account,opened,
2026-04-29 14:00:00,CUST00007,loan,applied,9642
2026-04-30 20:00:00,CUST00007,loan,approved,9642
2026-02-01 05:42:00,CUST00008,account,opened,
2025-11-15 08:34:00,CUST00010,account,opened,
2026-01-24 07:00:00,CUST00015,account,opened,
2026-02-07 08:00:00,CUST00015,card,opened,
2026-01-25 09:44:00,CUST00016,account,opened,
2025-12-30 06:39:00,CUST00017,account,opened,
2026-01-12 09:39:00,CUST00017,card,opened,
2025-11-23 04:00:00,CUST00020,account,opened,
2025-12-08 11:00:00,CUST00020,card,opened,
2026-03-20 05:00:00,CUST00020,mortgage,applied,171805
2026-04-02 11:00:00,CUST00020,mortgage,approved,171805
2025-12-28 04:39:00,CUST00021,account,opened,
2025-11-11 22:19:00,CUST00036,account,opened,
2025-11-14 04:43:00,CUST00041,account,opened,
2025-12-23 17:11:00,CUST00044,account,opened,
2025-12-24 02:11:00,CUST00044,card,opened,
2025-10-24 01:40:00,CUST00062,account,opened,
2025-10-27 11:40:00,CUST00062,card,opened,
2026-01-22 12:47:00,CUST00063,account,opened,
2025-11-17 06:44:00,CUST00088,account,opened,
2025-12-26 05:00:00,CUST00090,account,opened,
2025-11-07 20:09:00,CUST00092,account,opened,
2025-11-27 06:09:00,CUST00092,card,opened,
2025-12-08 05:09:00,CUST00092,mortgage,applied,114124
2025-12-17 05:09:00,CUST00092,mortgage,approved,114124
2025-12-23 03:24:00,CUST00100,account,opened,
2026-01-11 12:24:00,CUST00100,card,opened,
2026-01-25 04:00:00,CUST00102,account,opened,
2026-03-23 08:00:00,CUST00102,loan,applied,9219
2025-12-09 14:19:00,CUST00107,account,opened,
2026-02-19 17:50:00,CUST00124,account,opened,
2025-12-11 12:02:00,CUST00141,account,opened,
2025-12-16 13:02:00,CUST00141,card,opened,
2025-11-30 12:21:00,CUST00146,account,opened,
2025-12-11 21:21:00,CUST00146,card,opened,
2025-11-17 07:40:00,CUST00150,account,opened,
2025-12-02 08:40:00,CUST00150,card,opened,
2025-11-06 23:07:00,CUST00155,account,opened,
2025-11-26 23:07:00,CUST00155,card,opened,
2025-10-31 06:16:00,CUST00162,account,opened,
2025-11-12 07:16:00,CUST00162,card,opened,
2025-11-20 03:00:00,CUST00178,account,opened,
2025-12-23 10:14:00,CUST00185,account,opened,
2025-11-01 06:39:00,CUST00196,account,opened,
2026-01-11 04:00:00,CUST00205,account,opened,
2026-01-13 10:00:00,CUST00205,card,opened,
2026-01-05 11:26:00,CUST00223,account,opened,
2026-01-10 13:26:00,CUST00223,card,opened,
2026-02-22 17:31:00,CUST00224,account,opened,
2026-02-25 02:31:00,CUST00224,card,opened,
2026-02-28 03:00:00,CUST00228,account,opened,
2026-02-02 21:49:00,CUST00230,account,opened,
2026-02-14 00:49:00,CUST00230,card,opened,
2025-12-22 00:00:00,CUST00233,account,opened,
2025-12-27 00:00:00,CUST00233,card,opened,
2025-11-21 08:00:00,CUST00234,account,opened,
2025-12-04 14:00:00,CUST00234,card,opened,
2026-02-01 06:00:00,CUST00235,account,opened,
2026-03-03 09:00:00,CUST00235,loan,applied,8649
2026-03-07 09:00:00,CUST00235,loan,approved,8649
2025-11-16 01:04:00,CUST00238,account,opened,
2025-11-19 09:04:00,CUST00238,card,opened,
2025-11-30 04:40:00,CUST00240,account,opened,
2025-11-30 15:41:00,CUST00241,account,opened,
2026-01-07 21:41:00,CUST00241,loan,applied,22920
2026-01-09 02:41:00,CUST00241,loan,approved,22920
2026-02-22 14:28:00,CUST00242,account,opened,
2025-12-30 01:40:00,CUST00246,account,opened,
2025-12-15 05:00:00,CUST00249,account,opened,
2025-12-15 09:00:00,CUST00249,card,opened,
2026-02-16 03:25:00,CUST00250,account,opened,
2026-02-19 21:30:00,CUST00255,account,opened,
2026-03-02 02:30:00,CUST00255,card,opened,
2025-11-04 01:00:00,CUST00265,account,opened,
2025-11-11 05:00:00,CUST00265,card,opened,
2025-11-20 05:16:00,CUST00270,account,opened,
2025-11-28 05:16:00,CUST00270,card,opened,
2026-01-23 21:22:00,CUST00272,account,opened,
2025-12-04 04:00:00,CUST00275,account,opened,
2025-12-11 00:15:00,CUST00279,account,opened,
2026-01-14 00:00:00,CUST00291,account,opened,
2026-01-21 04:00:00,CUST00291,card,opened,
2026-02-01 07:47:00,CUST00293,account,opened,
2026-02-01 10:47:00,CUST00293,card,opened,
2026-02-24 21:05:00,CUST00300,account,opened,
2025-11-18 00:46:00,CUST00305,account,opened,
2026-02-27 02:33:00,CUST00309,account,opened,
2026-01-18 04:31:00,CUST00312,account,opened,
2026-01-29 06:31:00,CUST00312,card,opened,
2025-10-19 09:00:00,CUST00327,account,opened,
2025-10-20 18:00:00,CUST00327,card,opened,
2026-01-01 06:27:00,CUST00332,account,opened,
2026-01-08 08:27:00,CUST00332,card,opened,
2026-02-01 03:00:00,CUST00335,account,opened,
2026-02-02 08:00:00,CUST00335,card,opened,
2026-02-13 04:00:00,CUST00335,loan,applied,18047
2025-11-27 08:00:00,CUST00339,account,opened,
2025-12-09 13:28:00,CUST00362,account,opened,
2026-02-07 11:56:00,CUST00368,account,opened,
2026-02-24 13:56:00,CUST00368,card,opened,
2025-11-12 04:00:00,CUST00372,account,opened,
2025-11-15 09:00:00,CUST00372,card,opened,
2025-12-29 05:09:00,CUST00374,account,opened,
2025-12-29 15:09:00,CUST00374,card,opened,
2025-12-25 06:00:00,CUST00379,account,opened,
2026-01-22 17:38:00,CUST00380,account,opened,
2026-03-08 09:31:00,CUST00381,account,opened,
2026-03-16 18:31:00,CUST00381,card,opened,
2026-01-11 23:18:00,CUST00382,account,opened,
2025-12-19 12:00:00,CUST00390,account,opened,
2025-12-20 13:00:00,CUST00390,card,opened,
2025-12-20 03:20:00,CUST00393,account,opened,
2026-04-16 03:20:00,CUST00393,mortgage,applied,169021
2026-04-21 04:20:00,CUST00393,mortgage,approved,169021
2025-12-29 05:28:00,CUST00412,account,opened,
2026-01-02 14:28:00,CUST00412,card,opened,
2025-11-09 12:24:00,CUST00420,account,opened,
2025-11-18 17:24:00,CUST00420,card,opened,
2025-12-13 01:00:00,CUST00429,account,opened,
2025-11-19 21:40:00,CUST00431,account,opened,
2025-11-25 00:40:00,CUST00431,card,opened,
2025-12-27 09:00:00,CUST00439,account,opened,
2025-12-18 09:48:00,CUST00441,account,opened,
2026-03-02 23:37:00,CUST00444,account,opened,
2026-03-09 08:37:00,CUST00444,card,opened,
2025-11-19 08:36:00,CUST00447,account,opened,
2025-12-07 12:00:00,CUST00455,account,opened,
2025-12-18 17:50:00,CUST00458,account,opened,
2025-12-24 06:00:00,CUST00464,account,opened,
2025-12-30 14:00:00,CUST00464,card,opened,
2026-02-18 22:27:00,CUST00469,account,opened,
2025-12-28 03:36:00,CUST00472,account,opened,
2025-12-29 08:36:00,CUST00472,card,opened,
2025-12-22 17:22:00,CUST00474,account,opened,
2025-12-12 20:41:00,CUST00475,account,opened,
2026-03-29 01:41:00,CUST00475,mortgage,applied,114731
2026-04-05 01:41:00,CUST00475,mortgage,approved,114731
2025-11-05 10:00:00,CUST00508,account,opened,
2025-11-19 03:19:00,CUST00511,account,opened,
2025-12-27 02:20:00,CUST00519,account,opened,
2025-11-02 13:55:00,CUST00521,account,opened,
2025-12-07 22:57:00,CUST00530,account,opened,
2025-12-19 02:57:00,CUST00530,card,opened,
2025-12-21 07:57:00,CUST00530,loan,applied,6155
2025-12-31 10:57:00,CUST00530,loan,approved,6155
2025-12-26 02:24:00,CUST00531,account,opened,
2026-02-14 06:24:00,CUST00531,loan,applied,21199
2026-02-02 09:00:00,CUST00537,account,opened,
2026-02-19 14:00:00,CUST00537,card,opened,
2025-12-14 07:07:00,CUST00544,account,opened,
2026-01-01 14:07:00,CUST00544,card,opened,
2026-01-15 17:07:00,CUST00544,loan,applied,5158
2025-12-23 11:00:00,CUST00546,account,opened,
2026-02-08 00:33:00,CUST00547,account,opened,
2025-12-14 11:30:00,CUST00551,account,opened,
2025-12-25 14:30:00,CUST00551,card,opened,
2025-12-13 18:34:00,CUST00577,account,opened,
2025-12-15 04:34:00,CUST00577,card,opened,
2026-02-01 06:21:00,CUST00578,account,opened,
2026-02-01 12:21:00,CUST00578,card,opened,
2026-01-31 08:06:00,CUST00588,account,opened,
2026-02-12 15:50:00,CUST00590,account,opened,
2025-12-30 07:00:00,CUST00598,account,opened,
2026-02-24 16:00:00,CUST00598,loan,applied,19545
2026-01-14 10:02:00,CUST00636,account,opened,
2026-01-28 17:10:00,CUST00642,account,opened,
2025-12-10 09:09:00,CUST00649,account,opened,
2026-01-15 15:17:00,CUST00655,account,opened,
2026-01-15 20:17:00,CUST00655,card,opened,
2025-12-03 10:00:00,CUST00659,account,opened,
2025-11-27 15:12:00,CUST00669,account,opened,
2025-11-07 03:00:00,CUST00674,account,opened,
2026-03-01 04:26:00,CUST00684,account,opened,
2026-02-11 11:00:00,CUST00685,account,opened,
2026-03-02 12:00:00,CUST00685,card,opened,
2025-12-31 07:00:00,CUST00693,account,opened,
2026-01-27 00:00:00,CUST00696,account,opened,
2026-02-14 05:00:00,CUST00696,card,opened,
2026-01-14 07:31:00,CUST00701,account,opened,
2026-01-16 16:31:00,CUST00701,card,opened,
2026-03-08 10:31:00,CUST00701,loan,applied,43717
2026-03-18 11:31:00,CUST00701,loan,approved,43717
2025-12-10 07:36:00,CUST00707,account,opened,
2026-02-26 15:17:00,CUST00709,account,opened,
2026-01-21 04:00:00,CUST00724,account,opened,
2026-01-28 08:00:00,CUST00725,account,opened,
2026-02-16 10:00:00,CUST00725,card,opened,
2026-01-08 03:00:00,CUST00732,account,opened,
2025-11-07 03:00:00,CUST00733,account,opened,
2025-11-18 06:11:00,CUST00739,account,opened,
2026-02-28 01:00:00,CUST00752,account,opened,
2026-03-07 01:00:00,CUST00752,card,opened,
2026-03-11 01:00:00,CUST00752,loan,applied,41951
2025-11-10 00:00:00,CUST00753,account,opened,
2025-11-15 00:00:00,CUST00753,card,opened,
2025-11-18 10:38:00,CUST00761,account,opened,
2026-01-15 16:27:00,CUST00775,account,opened,
2026-02-18 16:27:00,CUST00775,loan,applied,6309
2026-02-20 20:27:00,CUST00775,loan,approved,6309
2026-02-15 00:24:00,CUST00782,account,opened,
2025-11-20 15:04:00,CUST00791,account,opened,
2025-12-01 00:04:00,CUST00791,card,opened,
2026-02-03 02:00:00,CUST00796,account,opened,
2025-12-09 05:00:00,CUST00807,account,opened,
2025-12-29 13:00:00,CUST00807,card,opened,
2025-12-09 10:00:00,CUST00809,account,opened,
2025-12-28 10:00:00,CUST00809,card,opened,
2026-01-20 03:00:00,CUST00811,account,opened,
2026-01-29 04:00:00,CUST00811,card,opened,
2026-01-12 18:08:00,CUST00820,account,opened,
2026-01-14 07:02:00,CUST00833,account,opened,
2026-02-03 08:02:00,CUST00833,card,opened,
2025-12-23 19:28:00,CUST00844,account,opened,
2026-02-10 17:06:00,CUST00866,account,opened,
2026-01-29 07:00:00,CUST00871,account,opened,
2026-02-03 17:00:00,CUST00871,card,opened,
2026-03-29 10:00:00,CUST00871,loan,applied,13762
2026-04-07 14:00:00,CUST00871,loan,approved,13762
2026-01-24 09:00:00,CUST00878,account,opened,
