customer_id,age_band,residency,segment,created_date
CUST07418,18-25,AD,affluent,2025-11-09
CUST11187,18-25,AD,affluent,2025-11-15
CUST08647,18-25,AD,affluent,2025-11-19
CUST16226,18-25,AD,affluent,2025-11-28
CUST07015,18-25,AD,affluent,2025-12-11
CUST05887,18-25,AD,affluent,2025-12-30
CUST11753,26-35,AD,affluent,2025-10-15
CUST19417,26-35,AD,affluent,2025-10-21
CUST13657,26-35,AD,affluent,2025-11-18
CUST02931,26-35,AD,affluent,2025-11-20
CUST13835,26-35,AD,affluent,2025-11-27
CUST01264,26-35,AD,affluent,2025-12-02
CUST07656,26-35,AD,affluent,2025-12-03
CUST12610,26-35,AD,affluent,2025-12-16
CUST04223,26-35,AD,affluent,2025-12-27
CUST02491,26-35,AD,affluent,2026-01-01
CUST15586,26-35,AD,affluent,2026-01-02
CUST18250,26-35,AD,affluent,2026-01-14
CUST19674,26-35,AD,affluent,2026-01-31
CUST17355,26-35,AD,affluent,2026-02-06
CUST16542,36-45,AD,affluent,2025-10-30
CUST08810,36-45,AD,affluent,2025-11-25
CUST16294,36-45,AD,affluent,2025-12-29
CUST14634,36-45,AD,affluent,2025-12-31
CUST01180,36-45,AD,affluent,2026-01-07
CUST18297,36-45,AD,affluent,2026-01-07
CUST04743,36-45,AD,affluent,2026-01-31
CUST00666,46-60,AD,affluent,2025-10-28
CUST17019,46-60,AD,affluent,2025-10-31
CUST09931,46-60,AD,affluent,2025-11-18
CUST12578,46-60,AD,affluent,2025-12-17
CUST17457,46-60,AD,affluent,2026-01-16
CUST19183,46-60,AD,affluent,2026-01-16
CUST03318,46-60,AD,affluent,2026-01-26
CUST00074,60+,AD,affluent,2025-11-22
CUST18617,18-25,AD,affluent,2025-10-23
CUST10581,18-25,AD,affluent,2025-10-24
CUST06571,18-25,AD,affluent,2025-11-07
CUST10088,18-25,AD,affluent,2025-11-16
CUST03840,18-25,AD,affluent,2025-12-01
CUST08710,18-25,AD,affluent,2025-12-22
CUST13911,18-25,AD,affluent,2025-12-26
CUST15202,26-35,AD,affluent,2025-11-07
CUST13232,26-35,AD,affluent,2025-11-11
CUST00391,26-35,AD,affluent,2025-11-16
CUST01626,26-35,AD,affluent,2025-11-21
CUST19308,26-35,AD,affluent,2025-11-29
CUST03373,26-35,AD,affluent,2025-12-14
CUST01750,26-35,AD,affluent,2025-12-18
CUST11335,26-35,AD,affluent,2025-12-20
CUST18807,26-35,AD,affluent,2025-12-27
CUST11780,26-35,AD,affluent,2026-01-02
CUST03089,26-35,AD,affluent,2026-01-11
CUST19451,26-35,AD,affluent,2026-01-30
CUST17709,36-45,AD,affluent,2025-11-22
CUST15882,36-45,AD,affluent,2025-11-30
CUST13186,36-45,AD,affluent,2025-12-08
CUST05120,36-45,AD,affluent,2025-12-14
CUST10781,36-45,AD,affluent,2025-12-26
CUST06747,36-45,AD,affluent,2026-01-04
CUST06050,36-45,AD,affluent,2026-01-08
CUST03623,36-45,AD,affluent,2026-01-15
CUST13296,36-45,AD,affluent,2026-01-26
CUST00610,36-45,AD,affluent,2026-02-05
CUST06252,36-45,AD,affluent,2026-02-09
CUST14723,46-60,AD,affluent,2025-10-21
CUST14159,46-60,AD,affluent,2025-11-07
CUST12057,46-60,AD,affluent,2025-11-18
CUST09718,46-60,AD,affluent,2025-12-04
CUST10991,46-60,AD,affluent,2026-01-22
CUST13685,46-60,AD,affluent,2026-02-01
CUST16316,60+,AD,affluent,2025-12-10
CUST04746,60+,AD,affluent,2026-01-13
CUST01067,60+,AD,affluent,2026-01-20
CUST18861,18-25,AD,affluent,2025-10-16
CUST06429,18-25,AD,affluent,2025-10-22
CUST15973,18-25,AD,affluent,2025-11-17
CUST13551,18-25,AD,affluent,2025-12-28
CUST09824,18-25,AD,affluent,2026-01-07
CUST01686,18-25,AD,affluent,2026-01-24
CUST04288,18-25,AD,affluent,2026-01-27
CUST17732,18-25,AD,affluent,2026-02-09
CUST03016,18-25,AD,affluent,2026-02-10
CUST04079,26-35,AD,affluent,2025-10-20
CUST03736,26-35,AD,affluent,2025-11-23
CUST15025,26-35,AD,affluent,2025-11-30
CUST18145,26-35,AD,affluent,2025-12-05
CUST04369,26-35,AD,affluent,2025-12-12
CUST07236,26-35,AD,affluent,2025-12-18
CUST00216,36-45,AD,affluent,2025-10-16
CUST04661,36-45,AD,affluent,2025-10-16
CUST18704,36-45,AD,affluent,2025-10-20
CUST05756,36-45,AD,affluent,2025-11-07
CUST03594,36-45,AD,affluent,2025-11-08
CUST17059,36-45,AD,affluent,2025-12-10
CUST12472,36-45,AD,affluent,2025-12-27
CUST18655,36-45,AD,affluent,2026-01-23
CUST13852,36-45,AD,affluent,2026-01-27
CUST06416,36-45,AD,affluent,2026-02-09
CUST17320,36-45,AD,affluent,2026-02-11
CUST10809,46-60,AD,affluent,2025-10-17
CUST06492,46-60,AD,affluent,2025-10-29
CUST04484,46-60,AD,affluent,2025-10-31
CUST16344,46-60,AD,affluent,2025-11-05
CUST13023,46-60,AD,affluent,2025-11-24
CUST16565,46-60,AD,affluent,2025-12-03
CUST05995,46-60,AD,affluent,2025-12-14
CUST09778,46-60,AD,affluent,2026-01-25
CUST08047,46-60,AD,affluent,2026-02-03
CUST05352,60+,AD,affluent,2025-11-15
CUST12604,60+,AD,affluent,2025-11-24
CUST17755,60+,AD,affluent,2026-01-07
CUST10892,60+,AD,affluent,2026-01-13
CUST02463,60+,AD,affluent,2026-01-16
CUST04656,60+,AD,affluent,2026-01-27
CUST02446,18-25,AD,affluent,2025-10-17
CUST03930,18-25,AD,affluent,2025-11-06
CUST08438,18-25,AD,affluent,2025-11-17
CUST12154,18-25,AD,affluent,2025-11-20
CUST09192,18-25,AD,affluent,2025-12-01
CUST07095,26-35,AD,affluent,2025-10-19
CUST12485,26-35,AD,affluent,2025-10-23
CUST05770,26-35,AD,affluent,2025-11-25
CUST09597,26-35,AD,affluent,2025-12-08
CUST18672,26-35,AD,affluent,2025-12-12
CUST19513,26-35,AD,affluent,2025-12-19
CUST15382,26-35,AD,affluent,2026-01-12
CUST02581,26-35,AD,affluent,2026-01-19
CUST16140,26-35,AD,affluent,2026-01-31
CUST00825,36-45,AD,affluent,2025-10-17
CUST17385,36-45,AD,affluent,2025-11-07
CUST17648,36-45,AD,affluent,2025-11-07
CUST15100,36-45,AD,affluent,2025-11-08
CUST16403,36-45,AD,affluent,2025-11-25
CUST13826,36-45,AD,affluent,2025-12-24
CUST15059,36-45,AD,affluent,2025-12-26
CUST18388,36-45,AD,affluent,2025-12-27
CUST19277,36-45,AD,affluent,2025-12-29
CUST09223,36-45,AD,affluent,2025-12-30
CUST04721,36-45,AD,affluent,2026-01-04
CUST01862,36-45,AD,affluent,2026-01-13
CUST19292,36-45,AD,affluent,2026-02-06
CUST15355,46-60,AD,affluent,2025-10-29
CUST02546,46-60,AD,affluent,2025-11-02
CUST15903,46-60,AD,affluent,2025-11-16
CUST15797,46-60,AD,affluent,2025-11-29
CUST13985,46-60,AD,affluent,2025-12-12
CUST06256,46-60,AD,affluent,2026-01-05
CUST17843,46-60,AD,affluent,2026-01-09
CUST11137,46-60,AD,affluent,2026-01-27
CUST00560,46-60,AD,affluent,2026-02-02
CUST01855,60+,AD,affluent,2025-10-20
CUST17193,60+,AD,affluent,2025-12-08
CUST09474,18-25,AD,affluent,2025-10-26
CUST03421,18-25,AD,affluent,2025-11-11
CUST12379,18-25,AD,affluent,2025-12-29
CUST17220,18-25,AD,affluent,2025-12-29
CUST01356,18-25,AD,affluent,2026-01-15
CUST13149,18-25,AD,affluent,2026-01-17
CUST08184,18-25,AD,affluent,2026-01-23
CUST09248,18-25,AD,affluent,2026-01-23
CUST07939,18-25,AD,affluent,2026-01-28
CUST05368,26-35,AD,affluent,2025-10-27
CUST19844,26-35,AD,affluent,2025-11-10
CUST13704,26-35,AD,affluent,2025-11-21
CUST16800,26-35,AD,affluent,2025-12-02
CUST08553,26-35,AD,affluent,2025-12-31
CUST10873,26-35,AD,affluent,2026-01-01
CUST15024,26-35,AD,affluent,2026-01-14
CUST05048,26-35,AD,affluent,2026-01-20
CUST11644,26-35,AD,affluent,2026-01-24
CUST14886,26-35,AD,affluent,2026-01-30
CUST12045,36-45,AD,affluent,2025-10-25
CUST13365,36-45,AD,affluent,2025-11-30
CUST12460,36-45,AD,affluent,2026-01-14
CUST03174,36-45,AD,affluent,2026-01-20
CUST05537,36-45,AD,affluent,2026-02-01
CUST05536,36-45,AD,affluent,2026-02-10
CUST07557,46-60,AD,affluent,2025-10-30
CUST15534,46-60,AD,affluent,2025-11-21
CUST02587,46-60,AD,affluent,2026-01-17
CUST14764,46-60,AD,affluent,2026-01-19
CUST15750,46-60,AD,affluent,2026-01-31
CUST11043,46-60,AD,affluent,2026-02-10
CUST10795,60+,AD,affluent,2025-10-24
CUST06178,60+,AD,affluent,2025-10-26
CUST16608,60+,AD,affluent,2025-11-29
CUST07987,60+,AD,affluent,2026-02-06
CUST12643,18-25,AD,affluent,2025-10-31
CUST00853,18-25,AD,affluent,2025-11-04
CUST15743,18-25,AD,affluent,2025-11-06
CUST17540,18-25,AD,affluent,2025-11-08
CUST19726,18-25,AD,affluent,2025-11-08
CUST18830,18-25,AD,affluent,2025-11-15
CUST03854,18-25,AD,affluent,2025-11-21
CUST10413,18-25,AD,affluent,2025-12-03
CUST11255,18-25,AD,affluent,2025-12-16
CUST07087,18-25,AD,affluent,2026-01-14
